"Id","SalePrice"
1461,115937.459800202
1462,159137.703629896
1463,195049.89077751
1464,208121.415674221
1465,184499.629087313
1466,195019.284910302
1467,179360.957985165
1468,184034.76710814
1469,187628.831750674
1470,120312.834308085
1471,167050.418047744
1472,84575.0682603384
1473,92182.6916252312
1474,136514.961008915
1475,103134.902453242
1476,380890.570827655
1477,277226.360163588
1478,302819.869464799
1479,287981.900456702
1480,436550.787143971
1481,307151.563037568
1482,221246.642071749
1483,194100.455254667
1484,183572.608361958
1485,192893.966285806
1486,202050.306751772
1487,312912.119046131
1488,223906.040705188
1489,212531.065475837
1490,217684.621165896
1491,193504.385872719
1492,98725.1093568348
1493,194159.14190786
1494,285087.410649142
1495,269821.617021555
1496,197228.694908966
1497,157068.526353948
1498,141605.386141835
1499,137610.941856497
1500,150057.646540774
1501,169483.502419875
1502,159815.959728569
1503,273321.100626919
1504,219693.306679511
1505,216200.441001113
1506,188593.495389873
1507,236220.93331299
1508,190121.724018236
1509,133701.348901554
1510,163752.365618709
1511,151880.052036019
1512,168620.499925129
1513,151295.839288258
1514,165834.573736101
1515,177495.805677353
1516,151766.811458395
1517,159788.647388854
1518,153240.739177207
1519,217289.450813031
1520,131812.050489977
1521,133768.629160676
1522,170467.53722247
1523,94229.0640923384
1524,101411.765206711
1525,110683.057675199
1526,104634.635499658
1527,105918.592574809
1528,107486.702535585
1529,142795.958112839
1530,177429.818011209
1531,161382.356813994
1532,98208.8376012905
1533,126998.289887102
1534,96977.8981656529
1535,137177.453956458
1536,99515.3568607204
1537,87005.7482080488
1538,143495.90306501
1539,167471.085658866
1540,114189.116939756
1541,123864.151632913
1542,111017.110182559
1543,145084.845988052
1544,73002.8977947892
1545,87354.5759983866
1546,111825.433158548
1547,127460.177150669
1548,103304.504544843
1549,103719.553868273
1550,117485.939418155
1551,111648.838203069
1552,136237.040848943
1553,139691.275793397
1554,112426.568699662
1555,184388.851871014
1556,111567.024085528
1557,101777.815716412
1558,106984.420530239
1559,116693.65877123
1560,132148.526252504
1561,146588.959603356
1562,131680.488291712
1563,122072.724386876
1564,166895.015990884
1565,162855.565606012
1566,205422.991536734
1567,93626.8008368601
1568,246815.282106069
1569,145432.985269715
1570,134611.894089629
1571,111520.616015345
1572,131010.594410387
1573,244333.061364442
1574,137984.445700764
1575,227600.058221272
1576,257994.907946059
1577,216300.542228511
1578,144417.887745998
1579,152230.114038281
1580,194156.084591763
1581,146536.80741068
1582,108547.419406008
1583,271074.360749674
1584,228714.141281466
1585,151289.104387782
1586,90930.4401284701
1587,102824.199428186
1588,145613.681174626
1589,103173.287793707
1590,127293.034116174
1591,108676.78803431
1592,119250.033288882
1593,118816.732032737
1594,146089.897488655
1595,134248.694382117
1596,183336.184485754
1597,183940.220373703
1598,200858.300656135
1599,163304.260948288
1600,169628.52425055
1601,67796.3682455534
1602,104952.538734555
1603,102336.844048393
1604,246057.729789141
1605,225356.699011907
1606,162751.348333655
1607,198500.897712673
1608,270357.142868016
1609,217377.399343361
1610,178574.069503633
1611,153752.68789989
1612,188471.014603838
1613,181379.793093227
1614,113829.249630953
1615,88838.4836534932
1616,86338.0186777019
1617,84208.9878818275
1618,104507.802909238
1619,127995.192685693
1620,190560.903875247
1621,140654.935771384
1622,157639.567116286
1623,248829.275402037
1624,235622.432164253
1625,102898.916711232
1626,192740.840305417
1627,205848.376968552
1628,269591.38811327
1629,190325.827603267
1630,266696.721141814
1631,201830.908542637
1632,220286.087232113
1633,190531.271875224
1634,197473.153776837
1635,197619.569189667
1636,182212.885530005
1637,193855.319699552
1638,208875.363915441
1639,194126.24330374
1640,223643.732583404
1641,185275.929832667
1642,228528.747672212
1643,213097.045615193
1644,220797.821123406
1645,207202.287608245
1646,170263.35315816
1647,167048.862922444
1648,130339.275338924
1649,129876.369874663
1650,118130.921230833
1651,115948.677222836
1652,88536.1307699814
1653,81976.5747747989
1654,141446.835732204
1655,126129.937865312
1656,137852.917333649
1657,139808.097719
1658,150339.805112765
1659,103309.071723493
1660,161505.955481109
1661,433931.029214323
1662,341849.527625999
1663,382886.719744052
1664,476240.15169975
1665,348702.07153296
1666,307541.762320349
1667,367164.588058589
1668,376059.652014224
1669,292384.073151477
1670,365526.09735407
1671,264665.834647521
1672,367324.414701421
1673,288993.577137372
1674,257506.483416038
1675,205929.099205585
1676,200045.367129522
1677,243350.859706016
1678,435717.012554591
1679,343997.851191743
1680,334048.273463156
1681,294471.490631161
1682,307076.051866354
1683,202912.617308372
1684,196980.618257942
1685,195965.875175865
1686,181247.962176414
1687,180218.678877153
1688,212207.045127899
1689,200550.00843046
1690,209415.112622917
1691,200626.00516593
1692,264600.337141805
1693,180745.758123672
1694,186886.230620658
1695,169006.262173346
1696,261666.271528101
1697,169862.500766755
1698,306595.440683661
1699,295099.104020015
